Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,67.099998,67.470001,66.889999,66.900002,57.535126,1839903
2016-06-08,66.620003,66.790001,66.040001,66.150002,56.890114,1665028
2016-06-09,66.160004,66.160004,65.519997,65.790001,56.580502,1436405
2016-06-10,65.550003,65.550003,64.620003,64.669998,55.617290,1567479
2016-06-13,64.139999,64.440002,63.650002,63.650002,54.740074,1964753
2016-06-14,62.970001,63.110001,62.180000,62.180000,53.475849,2483398
2016-06-15,62.750000,63.330002,62.500000,62.599998,53.837051,1855638
2016-06-16,62.000000,62.540001,61.500000,62.330002,53.604847,1835471
2016-06-17,62.709999,63.119999,62.500000,62.900002,54.095055,2480050
2016-06-20,64.339996,65.239998,64.250000,64.800003,55.729095,1943891
2016-06-21,64.949997,64.949997,64.379997,64.730003,55.668888,2087560
2016-06-22,65.190002,65.370003,64.419998,64.419998,55.402287,1976592
2016-06-23,64.800003,65.370003,64.000000,64.650002,55.600090,2932191
2016-06-24,61.130001,61.639999,58.730000,59.990002,51.592419,6320771
2016-06-27,59.520000,60.730000,58.290001,58.570000,50.371189,3716007
2016-06-28,59.439999,60.509998,58.990002,60.360001,51.910622,3383689
2016-06-29,61.090000,62.790001,60.840000,62.520000,53.768250,2424373
2016-06-30,62.580002,63.880001,62.020000,63.689999,54.774471,2778358
2016-07-01,64.019997,64.930000,63.860001,64.349998,55.342079,2094620
2016-07-04,64.720001,64.889999,63.549999,63.560001,54.662674,1103888
2016-07-05,63.070000,63.299999,62.400002,62.669998,53.897259,1464382
2016-07-06,62.240002,62.730000,61.689999,62.209999,53.501648,1839953
2016-07-07,62.619999,63.439999,62.520000,63.130001,54.292866,1698499
2016-07-08,62.889999,63.959999,62.669998,63.599998,54.697071,1432892
2016-07-11,64.220001,65.480003,63.930000,65.449997,56.288094,1453904
2016-07-12,65.500000,66.320000,65.410004,65.760002,56.554707,1481432
2016-07-13,65.519997,66.480003,65.519997,66.089996,56.838512,1381234
2016-07-14,66.400002,66.669998,65.669998,66.309998,57.027706,1216754
2016-07-15,66.180000,66.370003,65.750000,66.269997,56.993313,1011320
2016-07-18,66.279999,66.680000,65.610001,65.900002,56.675114,969798
2016-07-19,65.760002,66.099998,65.320000,65.940002,56.709507,1110642
2016-07-20,66.290001,66.610001,65.830002,66.379997,57.087917,1076802
2016-07-21,66.410004,66.650002,65.389999,65.970001,56.735310,975250
2016-07-22,66.019997,66.860001,65.989998,66.550003,57.234123,1053160
2016-07-25,66.699997,67.260002,66.540001,67.209999,57.801723,944684
2016-07-26,67.199997,67.480003,66.970001,67.379997,57.947937,1124216
2016-07-27,67.510002,68.050003,67.510002,67.610001,58.145741,1270824
2016-07-28,67.330002,68.300003,66.959999,67.080002,57.689926,1326589
2016-07-29,67.599998,67.889999,65.839996,67.889999,58.386539,1841239
2016-08-01,68.000000,68.080002,67.050003,67.220001,57.810333,1049597
2016-08-02,67.230003,67.820000,67.230003,67.370003,57.939339,1426484
2016-08-03,67.379997,67.400002,66.500000,67.089996,57.698532,1645642
2016-08-04,67.639999,67.870003,66.650002,67.230003,57.818939,1081728
2016-08-05,67.349998,67.680000,66.790001,67.040001,57.655529,2327781
2016-08-08,67.019997,67.400002,66.510002,67.269997,57.853325,1051345
